taxon_id,scientific_name,family,kingdom,temp_min_c,temp_max_c,rainfall_min_mm_year,rainfall_max_mm_year,ph_min,ph_max,uses,growth_form_uri,plant_form_uri,soil_depth,soil_texture_uri,source
50042,Asarum europaeum,Aristolochiaceae,Archaeplastida,,,,,,,mammals | ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50043,Asplenium ruta-muraria,Aspleniaceae,Archaeplastida,,,,,,,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50044,Astrantia major,Umbelliferae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50045,Euphrasia officinalis,Scrophulariaceae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980071,FAO ECOCROP-derived DwC-A measurement data
50047,Gentiana acaulis,Gentianaceae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50048,Globularia vulgaris,Globulariaceae,Archaeplastida,,,,,,,,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50471,Paeonia officinalis,Paeoniaceae,Archaeplastida,,,,,,,mammals | ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,150,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50472,Peucedanum ostruthium,Umbelliferae,Archaeplastida,,,,,,,,,http://eol.org/schema/terms/subshrub,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
74953,Axonopus fissifolius,,Archaeplastida,17,32,1000,2000,5,6,cover crop | ornamental/turf,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900036,50,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
74962,Chamaecrista nictitans,,Archaeplastida,20,25,1000,1600,5,6.5,,http://eol.org/schema/terms/multipleStems,http://purl.obolibrary.org/obo/FLOPO_0900037,50,,FAO ECOCROP-derived DwC-A measurement data
